id,utc,hypothesis,change,code_hash,configuration,seed_role,seed_set,command,result,adopted
C_route_structure_dev30_route_refine,2026-09-12T10:16:10.599128+00:00,Reduce route detours and dedicated scanning costs,Relocate one or two consecutive stops after open 2-opt,4a701dd1ee160ec8f6508f8f75e444a68b30920a8142c4d52b68e37ec1ff497a,B_route_refine.json,development,400031-400060,"python code/experiment.py --phase C_route_structure_dev30 --variants {""E_combo"": ""E_combo.json"", ""route_refine"": ""B_route_refine.json"", ""route_probe"": ""D_route_probe.json"", ""forecast"": ""C_forecast.json""} --start 400031 --count 30 --role development --replay","{""phase"": ""C_route_structure_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""route_refine"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 463.7245877493359, ""improvement_percent"": 0.039222271754829126, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6761.639466999999, ""p95_change_percent"": -0.48441667144851763, ""bootstrap_improvement_95_percent"": [-0.30938165386996214, 0.358081725423248], ""faster"": 2, ""slower"": 1, ""gate_passed"": false}",rejected: full-task development gate not met
C_route_structure_dev30_route_probe,2026-09-12T10:16:10.624454+00:00,Reduce route detours and dedicated scanning costs,Use predicted next RF endpoint instead of region center as a routing task point,4a701dd1ee160ec8f6508f8f75e444a68b30920a8142c4d52b68e37ec1ff497a,D_route_probe.json,development,400031-400060,"python code/experiment.py --phase C_route_structure_dev30 --variants {""E_combo"": ""E_combo.json"", ""route_refine"": ""B_route_refine.json"", ""route_probe"": ""D_route_probe.json"", ""forecast"": ""C_forecast.json""} --start 400031 --count 30 --role development --replay","{""phase"": ""C_route_structure_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""route_probe"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 477.52290793597473, ""improvement_percent"": -2.9351527207252555, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6927.803256949999, ""p95_change_percent"": 1.96112727771649, ""bootstrap_improvement_95_percent"": [-4.723109602595803, -0.9997101776010467], ""faster"": 8, ""slower"": 22, ""gate_passed"": false}",rejected: full-task development gate not met
C_route_structure_dev30_forecast,2026-09-12T10:16:10.652458+00:00,Reduce route detours and dedicated scanning costs,Pay for actual scans when multiple known forecast stops could jointly replace fallback sites,4a701dd1ee160ec8f6508f8f75e444a68b30920a8142c4d52b68e37ec1ff497a,C_forecast.json,development,400031-400060,"python code/experiment.py --phase C_route_structure_dev30 --variants {""E_combo"": ""E_combo.json"", ""route_refine"": ""B_route_refine.json"", ""route_probe"": ""D_route_probe.json"", ""forecast"": ""C_forecast.json""} --start 400031 --count 30 --role development --replay","{""phase"": ""C_route_structure_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""forecast"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 463.90654243409784, ""mean_per_source_candidate"": 464.3567134296534, ""improvement_percent"": -0.09703915646317691, ""p95_baseline"": 6794.5534165, ""p95_candidate"": 6794.5534165, ""p95_change_percent"": 0.0, ""bootstrap_improvement_95_percent"": [-0.2576683186027572, 0.0], ""faster"": 0, ""slower"": 2, ""gate_passed"": false}",rejected: full-task development gate not met
B_search_stages_dev30_inner_first,2026-09-12T10:23:40.684755+00:00,Reduce crossings between search and clearance routes,inner_first stage scheduling,6ada74bdd57f8a90f5663a338306b48ee079cd2096b4ca6cb9f500dab1bef341,B_inner_first.json,development,400061-400090,"python code/experiment.py --phase B_search_stages_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner_first"": ""B_inner_first.json"", ""search_first"": ""B_search_first.json""} --start 400061 --count 30 --role development --replay","{""phase"": ""B_search_stages_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""inner_first"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 490.2089990623399, ""mean_per_source_candidate"": 535.3620371386512, ""improvement_percent"": -9.210976983833215, ""p95_baseline"": 6606.40200165, ""p95_candidate"": 7508.69502595, ""p95_change_percent"": 13.657858302819669, ""bootstrap_improvement_95_percent"": [-11.378425933090876, -7.078685229818294], ""faster"": 1, ""slower"": 29, ""gate_passed"": false}",rejected: average time and P95 both increased
B_search_stages_dev30_search_first,2026-09-12T10:23:40.709751+00:00,Reduce crossings between search and clearance routes,search_first stage scheduling,6ada74bdd57f8a90f5663a338306b48ee079cd2096b4ca6cb9f500dab1bef341,B_search_first.json,development,400061-400090,"python code/experiment.py --phase B_search_stages_dev30 --variants {""E_combo"": ""E_combo.json"", ""inner_first"": ""B_inner_first.json"", ""search_first"": ""B_search_first.json""} --start 400061 --count 30 --role development --replay","{""phase"": ""B_search_stages_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""search_first"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 490.2089990623399, ""mean_per_source_candidate"": 546.9106460198104, ""improvement_percent"": -11.56683109978154, ""p95_baseline"": 6606.40200165, ""p95_candidate"": 7368.05217225, ""p95_change_percent"": 11.528970995252363, ""bootstrap_improvement_95_percent"": [-14.07099528354413, -8.7707462307838], ""faster"": 2, ""slower"": 28, ""gate_passed"": false}",rejected: average time and P95 both increased
D_compact_optical_dev30_compact,2026-09-12T10:29:07.518781+00:00,Replace unnecessary RF with a continuously certified small optical cover when predicted full remaining time is lower,At most four optical cells; model failures and outgoing travel; actual success required,1af831ae2982936a9535651f1f74f26e28038bc69e650e710aa0e22d3c35877e,D_compact_optical.json,development,400061-400090,"python code/experiment.py --phase D_compact_optical_dev30 --variants {""E_combo"": ""E_combo.json"", ""compact"": ""D_compact_optical.json""} --start 400061 --count 30 --role development --replay","{""phase"": ""D_compact_optical_dev30"", ""baseline"": ""E_combo"", ""candidate"": ""compact"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 490.2089990623399, ""mean_per_source_candidate"": 483.42307350788144, ""improvement_percent"": 1.3842923258117283, ""p95_baseline"": 6606.40200165, ""p95_candidate"": 6557.21462265, ""p95_change_percent"": -0.7445411131159596, ""bootstrap_improvement_95_percent"": [1.0366892192586323, 1.8608429527269346], ""faster"": 30, ""slower"": 0, ""gate_passed"": true}",selected for fresh validation; incumbent unchanged
D_COMPACT_validation100_compact,2026-09-12T10:39:57.687542+00:00,Confirm compact optical coverage improves full-task time on untouched cases,Certified up-to-four-point optical coverage competes with the RF pair; all failures counted,1af831ae2982936a9535651f1f74f26e28038bc69e650e710aa0e22d3c35877e,D_compact_optical.json,validation,410301-410400,"python code/experiment.py --phase D_COMPACT_validation100 --variants {""H0"": ""H0.json"", ""E_combo"": ""E_combo.json"", ""compact"": ""D_compact_optical.json""} --start 410301 --count 100 --role validation --replay","{""phase"": ""D_COMPACT_validation100"", ""baseline"": ""E_combo"", ""candidate"": ""compact"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 492.28189721821735, ""mean_per_source_candidate"": 486.1921113042012, ""improvement_percent"": 1.237052580732353, ""p95_baseline"": 6872.581044299999, ""p95_candidate"": 6767.26412165, ""p95_change_percent"": -1.532421690935859, ""bootstrap_improvement_95_percent"": [1.071909063795228, 1.4136102256265208], ""faster"": 98, ""slower"": 2, ""gate_passed"": true}","promoted: 100 of 100 complete, replay and second exit audit pass, 1.2371 percent faster and P95 1.5324 percent lower"
D_adaptive_optical_dev30_adaptive,2026-09-12T10:52:52.502538+00:00,Compare a certified optical cover after the first actual RF result with the remaining RF cost,Include actual first-no plus predicted second-no clipping benefit in the radio alternative,7674c33d7f9e5af2de757f5ac99fccaa89aee410ee4f1416ffab808e10244d50,D_adaptive_optical.json,development,400061-400090,"python code/experiment.py --phase D_adaptive_optical_dev30 --variants {""compact"": ""D_compact_optical.json"", ""adaptive"": ""D_adaptive_optical.json""} --start 400061 --count 30 --role development --replay","{""phase"": ""D_adaptive_optical_dev30"", ""baseline"": ""compact"", ""candidate"": ""adaptive"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 483.42307350788144, ""mean_per_source_candidate"": 481.98146556316726, ""improvement_percent"": 0.2982083445569495, ""p95_baseline"": 6557.21462265, ""p95_candidate"": 6537.53961705, ""p95_change_percent"": -0.3000512676836653, ""bootstrap_improvement_95_percent"": [0.038524984793776744, 0.4980156848294445], ""faster"": 21, ""slower"": 1, ""gate_passed"": false}",rejected: 0.2982 percent development improvement below 1 percent gate
C_task_routes_dev30_centroid,2026-09-12T11:06:09.441773+00:00,Improved task route estimates,centroid,1bea55d0d7f17bb953261843d527ba96019eed62f737c2f1063dc3f6ef14b291,C_centroid_route.json,development,400091-400120,"python code/experiment.py --phase C_task_routes_dev30 --variants {""compact"": ""D_compact_optical.json"", ""centroid"": ""C_centroid_route.json"", ""task"": ""C_task_route.json""} --start 400091 --count 30 --role development --replay","{""complete"": 0, ""n"": 30, ""all_success"": false, ""error"": ""Decision data-channel violation: open"", ""speed_comparison"": ""invalid_incomplete_tasks"", ""repair"": ""preload_task_routing_before_guard""}",rejected_incomplete_import_guard
C_task_routes_dev30_task,2026-09-12T11:06:09.441773+00:00,Improved task route estimates,task,1bea55d0d7f17bb953261843d527ba96019eed62f737c2f1063dc3f6ef14b291,C_task_route.json,development,400091-400120,"python code/experiment.py --phase C_task_routes_dev30 --variants {""compact"": ""D_compact_optical.json"", ""centroid"": ""C_centroid_route.json"", ""task"": ""C_task_route.json""} --start 400091 --count 30 --role development --replay","{""complete"": 0, ""n"": 30, ""all_success"": false, ""error"": ""Decision data-channel violation: open"", ""speed_comparison"": ""invalid_incomplete_tasks"", ""repair"": ""preload_task_routing_before_guard""}",rejected_incomplete_import_guard
C_task_routes_fixed_dev30_centroid,2026-09-12T11:10:56.796966+00:00,面积重心更贴近首次扇形的面积分布，改善完整路线排序,仅未定位源的路线代理点改为保守区域面积重心,a8bddf05d8818e33c6ea04bcdf33b6941f624005d79e2e0b5c36cf5b4c595fa4,C_centroid_route.json,development,400091-400120,"python code/experiment.py --phase C_task_routes_fixed_dev30 --variants {""compact"": ""D_compact_optical.json"", ""centroid"": ""C_centroid_route.json"", ""task"": ""C_task_route.json""} --start 400091 --count 30 --role development --replay","{""phase"": ""C_task_routes_fixed_dev30"", ""baseline"": ""compact"", ""candidate"": ""centroid"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 492.18733446016444, ""mean_per_source_candidate"": 477.2287978954329, ""improvement_percent"": 3.0391957527997384, ""p95_baseline"": 6753.615062999999, ""p95_candidate"": 6640.0837762, ""p95_change_percent"": -1.6810446811217572, ""bootstrap_improvement_95_percent"": [1.602227566667363, 4.60925608092752], ""faster"": 22, ""slower"": 8, ""gate_passed"": true}",advance_to_validation
C_task_routes_fixed_dev30_task,2026-09-12T11:10:56.943971+00:00,有向任务进入/离开估计减少折返,保持证明不变，仅调整开放路线代价,a8bddf05d8818e33c6ea04bcdf33b6941f624005d79e2e0b5c36cf5b4c595fa4,C_task_route.json,development,400091-400120,"python code/experiment.py --phase C_task_routes_fixed_dev30 --variants {""compact"": ""D_compact_optical.json"", ""centroid"": ""C_centroid_route.json"", ""task"": ""C_task_route.json""} --start 400091 --count 30 --role development --replay","{""phase"": ""C_task_routes_fixed_dev30"", ""baseline"": ""compact"", ""candidate"": ""task"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 492.18733446016444, ""mean_per_source_candidate"": 491.7290017771777, ""improvement_percent"": 0.09312159230782309, ""p95_baseline"": 6753.615062999999, ""p95_candidate"": 6891.2069564, ""p95_change_percent"": 2.0373073104773987, ""bootstrap_improvement_95_percent"": [-2.1717929740102395, 2.2641672122926684], ""faster"": 15, ""slower"": 15, ""gate_passed"": false}",rejected_below_mean_and_p95_gate
D_COMPACT_frozen_pressure14,2026-09-12T11:13:04.746000+00:00,Frozen incumbent directional edge cases,Exact frozen controller with common isolation wrapper,1af831ae2982936a9535651f1f74f26e28038bc69e650e710aa0e22d3c35877e,frozen/D_COMPACT/configs/D_compact_optical.json,pressure,430001-430014,"python code/frozen_experiment.py --phase D_COMPACT_frozen_pressure14 --variants {""compact"": {""snapshot"": ""frozen/D_COMPACT"", ""config"": ""frozen/D_COMPACT/configs/D_compact_optical.json"", ""freeze"": ""configs/D_COMPACT_FREEZE.json""}} --start 430001 --count 14 --role pressure --scenes configs/PRESSURE_SCENES.json","{""compact"": {""n"": 14, ""complete"": 14, ""all_success"": true, ""missing_metrics"": 0, ""mean_total"": 6162.400051571429, ""mean_per_source"": 522.7546814535714, ""p95"": 7703.5293874, ""worst"": 8538.527424, ""mean_wall"": 5.809944028571148, ""worst_wall"": 7.7352726999961305, ""mean_move_time"": 4288.042909136634, ""mean_RF_detection_time"": 1520, ""mean_channel_switch_time"": 279.2857142857143, ""mean_optical_time"": 49.92857142857143, ""mean_clear_time"": 25.142857142857142, ""mean_no_signal_count"": 271.2142857142857, ""mean_optical_failed_count"": 4.071428571428571, ""mean_fallback_count"": 0, ""mean_journal_bytes"": 359788.5, ""mean_role_cost"": {""search"": {""actions"": 271.42857142857144, ""total_time"": 4184.378402030928, ""move_time"": 2567.2355448880708, ""rf_time"": 1357.142857142857, ""switch_time"": 260.0, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""paired_probe"": {""actions"": 21.428571428571427, ""total_time"": 1147.5425547268237, ""move_time"": 1032.2568404411097, ""rf_time"": 107.14285714285714, ""switch_time"": 8.142857142857142, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""compact_optical"": {""actions"": 11.285714285714286, ""total_time"": 523.2991973891833, ""move_time"": 475.01348310346896, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 33.857142857142854, ""clear_time"": 14.428571428571429}, ""shared_bearing"": {""actions"": 11.142857142857142, ""total_time"": 66.85714285714286, ""move_time"": 0.0, ""rf_time"": 55.714285714285715, ""switch_time"": 11.142857142857142, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""guaranteed"": {""actions"": 5.214285714285714, ""total_time"": 239.60846927541317, ""move_time"": 213.53704070398456, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 15.642857142857142, ""clear_time"": 10.428571428571429}, ""near"": {""actions"": 0.14285714285714285, ""total_time"": 0.7142857142857143, ""move_time"": 0.0, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 0.42857142857142855, ""clear_time"": 0.2857142857142857}}}}",all_14_complete_replay_and_independent_exit_valid
QA_forced_fallback,2026-09-12T11:16:58.778852+00:00,Finite fallback actually terminates on boundary directional sources,Set max_local_rounds to zero only for diagnostic,d239eabae47d986e0a5649e718c23e21afdb88d5a433d60b7c3dee9a94db83c1,configs/QA_forced_fallback.json,pressure,430015,python q4.py --config configs/QA_forced_fallback.json --sources 10 --seed 430015 --scenario boundary --source-mix directional --replay-check,"{""all_success"": true, ""engine_source_count"": 10, ""clear_count"": 10, ""total_time"": 11248.464472, ""mean_time_per_source"": 1124.8464472, ""fallback_count"": 9, ""optical_failed_count"": 706, ""journal_bytes"": 1060935, ""policy_wall_time_s"": 14.90350459999172, ""role_cost"": {""search"": {""actions"": 328, ""total_time"": 5031.714667487606, ""move_time"": 3082.7146674876053, ""rf_time"": 1640.0, ""switch_time"": 309.0, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""fallback"": {""actions"": 715, ""total_time"": 6002.451651686774, ""move_time"": 3839.4516516867748, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 2145.0, ""clear_time"": 18.0}, ""shared_bearing"": {""actions"": 6, ""total_time"": 36.0, ""move_time"": 0.0, ""rf_time"": 30.0, ""switch_time"": 6.0, ""optical_time"": 0.0, ""clear_time"": 0.0}, ""guaranteed"": {""actions"": 1, ""total_time"": 178.29815390399193, ""move_time"": 173.29815390399193, ""rf_time"": 0.0, ""switch_time"": 0.0, ""optical_time"": 3.0, ""clear_time"": 2.0}}, ""run_id"": ""20260912T111344197119Z-77889976"", ""diagnostic_not_incumbent"": true, ""source_hashes"": {""ablation_report.py"": ""1117db0320c2fe69ce53d6c2c362c1a96051b060e6b7dbdee4b54dfb3d14e163"", ""audit.py"": ""562d8d82fb1641706c723999559283c2cd22d4344b80d2124ff224234500c676"", ""batch_worker.py"": ""60ad79168fba3ef223c3c3c6be842d59ec0cf2b1e00a947984c0c7341f4d5ef0"", ""build_report.py"": ""810a8d96636d5cd35b7a5b6d5037dfaec0c139e3b1879d941e40dec458e277c0"", ""compact_optical.py"": ""7a6893fb66efa36fd9609d5032d29b4ae0494285ff94896127220b1735ba6979"", ""compare_phase.py"": ""3f4dc8245c64a119978c681c95ab0b8f9dd131e0be3f7365a7c98fd0a9ac6921"", ""coverage.py"": ""6b29fb4c5fa1a9de131acb49ffe5488e033ef6a2926934c038e69b347ed021ce"", ""decision_guard.py"": ""bd0a4c39069e22bb1cb6c1016d444b5eb47e73b3c9cf7d3fd4ff5d9a45786c3e"", ""directional_geometry.py"": ""1a43337890eba79d3fd23a513b2eb9d5a526d956a230aea7fabcdc8eedaa473d"", ""experiment.py"": ""76618de1dff816e2cdbc71f28fd6e79384ccf420155719e6d52be94920d88e25"", ""freeze_candidate.py"": ""7aab03b7acf0154244d0dd6936fcc7deabbcffa6517882e19cca6264c1222185"", ""frozen_experiment.py"": ""cea1ee662d63952922518c1108c456cf7d89dd632a011a1d2312c790b634a43a"", ""frozen_policy_worker.py"": ""9692f0dc0c3bae78ebabfbb7275b42829ee03c0c3fd32f9db7654cf7bf14546a"", ""geometry.py"": ""d8bb01ffbcccbb054aa53cf5a6582cdd1e31d4568e2e76a37b1f1e0b182d48ca"", ""independent_exit.py"": ""b049298171a0a9bdc437b60dedd28c53b3340cdcec84c2522a0f20e83cb60597"", ""independent_phase.py"": ""271d035ea0002db91fe78a0a29ab0c162c933f59238419192eda09510d7a2542"", ""local_geometry.py"": ""b333628c7639ac9640d03c2864f35662f9b710b787f10f3258fa4448fcc9012f"", ""lookahead.py"": ""71bf9eb72fc1637c3d800cbf2d54113038f4d11115a34d80110d94521f3b9b02"", ""make_figures.py"": ""6803df46217e0838c602457cb8b72148bb20689ba81550342656ca86da87be5d"", ""make_gallery.py"": ""ef2521bee4d3eb553dbdde54e6b09b00019428ff225c1e97a47e3fe06dc857f4"", ""make_pressure.py"": ""e2d4e3916ffaf433eef5d1fe6e719cad74b88c86299bbbd8837ffd79ba44d83c"", ""package_release.py"": ""4cf2c7831205a6b7e1d8688d4524cb5af29a18e1428ab9c3e9db02c5a8911968"", ""practice_transport.py"": ""8128d3a0478ba50b871d9337ac6cf5dcd9e96463882caaf2f9af62cc7901f24a"", ""pressure_summary.py"": ""c35ac449303c1f89b853a031b4b2c7cf0fcd378091f584b381a80b9c0f15f8ac"", ""promote_candidate.py"": ""28927f5a01e927df17f828dad1e61b631a46ca01f5c26bc6f606940376149e6d"", ""q3client.py"": ""c3191afbbae76b2dfb540c714164ce0e8bf558669cd8eae9c504021255d0ec41"", ""q4controller.py"": ""37ab2a258713333f3c99f1501ed53f8aae34e30a1b13a81f93200db67b575256"", ""q4engine.py"": ""7063e2900f7917629215ea540f60793d639e6b688b4944c071bb1a8fa26334bf"", ""record_experiment.py"": ""8539b3d1ec919110200718fc5958f3a021323096df0d742dd594c246c5ee9460"", ""replay_html.py"": ""e2a490256dfb4b6fa1f8fd193e1d36e5289de1f2f915c56565b0abf07a97d65f"", ""restore_evidence.py"": ""3a6dfe10cdc77b8d1ff435c9ffa19bc9fbe9fc99a4e6232c566d026ba9d58952"", ""routing.py"": ""6ba3b3364928b78057646f16409cc43e011c708c36b86f56d5c93a69bd5e74ed"", ""run_case.py"": ""4494713b11e09c1286d39919ea7675bed784e53f00249df5ef4eccd6882f3d17"", ""screen_group_sites.py"": ""f8b0557fc144a6f224cba50cac7690c4d3e127559d7125810c6e4670316c3709"", ""screen_inner_radii.py"": ""7ae40f455b71eda585c956ef0f9b9e127cfd525bb8486dbcc94906f08354b5d4"", ""screen_skeletons.py"": ""12787c217450e9b4211e31028c7f1153e7cf220eb636278861b8c4df52428ad5"", ""setup_workers.py"": ""0e8d75664b8416b6a9e3c71ecb4295725ceb7b8f0a776bc3f82178adaf65c48e"", ""snapshot_case.py"": ""ac3e64332c01738865efbf7fcf0ddf1162e69a63799c1a3e7c40f29606cff816"", ""task_routing.py"": ""21d8a03b0b8b25cd854e611fb91cfe27058dfe17199e307d18013e1e73ecf850"", ""verify_exit.py"": ""d262976675b96d00bb2c90e96c1858dcfb154d22c21cc24a15d1c7f3f8711362"", ""verify_freeze.py"": ""cfa6586fcebfb1d1f5a063ef9cab93d5a34810978e9bd3ccbd9c7ff56230a363"", ""workers.py"": ""bf45a7ad5b3905bef14b1de30fbb0d23e845ec8540de4a095671983c03ebf629"", ""write_active_algorithm.py"": ""cd6f5dd267965d39f5533da991dcf5c8dd124f446a5b3a66efa62c75d4dd41be""}, ""seed"": 430015, ""independent_exit_valid"": true}",qa_passed_not_speed_candidate
C_CENTROID_validation100_centroid,2026-09-12T11:19:39.024265+00:00,开发集面积重心路线收益可泛化,冻结a74d1e0的单一源任务代理点修改,a8bddf05d8818e33c6ea04bcdf33b6941f624005d79e2e0b5c36cf5b4c595fa4,C_centroid_route.json,validation,410401-410500,"python code/experiment.py --phase C_CENTROID_validation100 --variants {""compact"": ""D_compact_optical.json"", ""centroid"": ""C_centroid_route.json""} --start 410401 --count 100 --role validation --replay","{""phase"": ""C_CENTROID_validation100"", ""baseline"": ""compact"", ""candidate"": ""centroid"", ""pairs"": 100, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 100, ""mean_per_source_baseline"": 479.9664725199166, ""mean_per_source_candidate"": 477.48222391950577, ""improvement_percent"": 0.5175879447095594, ""p95_baseline"": 6654.761257849999, ""p95_candidate"": 6733.642592349999, ""p95_change_percent"": 1.1853368053880375, ""bootstrap_improvement_95_percent"": [-0.6546348895630372, 1.6594119590521816], ""faster"": 53, ""slower"": 47, ""gate_passed"": false}",rejected_validation_below_1_percent
FINAL_PACKAGE_QA,2026-09-12T11:29:56.116176+00:00,Portable package runs independently after extraction,"Fresh directory, manifest, frozen hash, 51 tests and 14-source replay",1af831ae2982936a9535651f1f74f26e28038bc69e650e710aa0e22d3c35877e,frozen/D_COMPACT/configs/D_compact_optical.json,smoke,15,python code/qa_package.py tmp/final_preflight/Q4_preflight_20260912_runtime.zip --extract tmp/final_preflight/extracted --smoke-seed 15 --output reports/FINAL_PACKAGE_PREFLIGHT_QA.json,"{""valid"": true, ""files"": 408, ""tests"": 51, ""sources"": 14, ""replay_actions"": 262, ""virtual_time"": 6204.968378}",qa_passed
FINAL_holdout200,2026-09-12T11:42:07.878035+00:00,Independent final evaluation of the preselected incumbent,Execute exact immutable H0 and D_COMPACT snapshots,"{""H0"": ""fe8f59ee3da18c054e06469d3b7f943ca9a170b1846c2a299286ec6e8fbe6fb2"", ""compact"": ""1af831ae2982936a9535651f1f74f26e28038bc69e650e710aa0e22d3c35877e""}","{""H0"": ""frozen/H0/configs/H0.json"", ""compact"": ""frozen/D_COMPACT/configs/D_compact_optical.json""}",final,420001-420200,"python code/frozen_experiment.py --phase FINAL_holdout200 --variants {""H0"": {""snapshot"": ""frozen/H0"", ""config"": ""frozen/H0/configs/H0.json"", ""freeze"": ""configs/H0_FREEZE.json""}, ""compact"": {""snapshot"": ""frozen/D_COMPACT"", ""config"": ""frozen/D_COMPACT/configs/D_compact_optical.json"", ""freeze"": ""configs/D_COMPACT_FREEZE.json""}} --start 420001 --count 200 --role final","{""phase"": ""FINAL_holdout200"", ""baseline"": ""H0"", ""candidate"": ""compact"", ""pairs"": 200, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 200, ""mean_per_source_baseline"": 588.233158353378, ""mean_per_source_candidate"": 491.5800688481228, ""improvement_percent"": 16.43108487386415, ""p95_baseline"": 8540.62627875, ""p95_candidate"": 6677.01488205, ""p95_change_percent"": -21.820547297999283, ""bootstrap_improvement_95_percent"": [15.578358184565435, 17.34979498991281], ""faster"": 199, ""slower"": 1, ""gate_passed"": true}",final_acceptance_not_parameter_selection
R2_A_dev30_narrow,2026-09-12T12:48:15.479948+00:00,正测半径见证窄截线减少横向移动,保留旧间距并加入动态窄间距，双负裁剪独立见证,737e4256c23d4af0d63a2733f5b7da1d77dade8624e8128c92cc97e7927e7418,R2_A_narrow.json,development,500001-500030,"python code/experiment.py --phase R2_A_dev30 --variants {""compact"": ""D_compact_optical.json"", ""narrow"": ""R2_A_narrow.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_A_dev30"", ""baseline"": ""compact"", ""candidate"": ""narrow"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 463.720091080235, ""improvement_percent"": 0.16834019466321462, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6548.44810635, ""p95_change_percent"": -0.3842538207326496, ""bootstrap_improvement_95_percent"": [0.025059187519592335, 0.3141390331175122], ""faster"": 17, ""slower"": 5, ""gate_passed"": false}",未晋级：30场改善不足1%，保留作消融与后续复用候选
R2_AR_dev30_reuse,2026-09-12T13:01:37.877774+00:00,用已付费历史负站补成单次新RF的截线见证,非对称历史负站复用，完整分支成本与双侧RF及光学比较,4052e7496abffdcb67cafbb4aae768adced805746c3bd7e81f54062f0c8088c9,R2_AR_reuse.json,development,500001-500030,"python code/experiment.py --phase R2_AR_dev30 --variants {""compact"": ""D_compact_optical.json"", ""reuse"": ""R2_AR_reuse.json""} --start 500001 --count 30 --role development --replay","{""phase"": ""R2_AR_dev30"", ""baseline"": ""compact"", ""candidate"": ""reuse"", ""pairs"": 30, ""all_registered_pairs_present"": true, ""all_success"": true, ""identical_worlds_verified"": 30, ""mean_per_source_baseline"": 464.5020347096799, ""mean_per_source_candidate"": 464.0273511381553, ""improvement_percent"": 0.10219192512714156, ""p95_baseline"": 6573.70782985, ""p95_candidate"": 6539.7306598000005, ""p95_change_percent"": -0.5168646208417615, ""bootstrap_improvement_95_percent"": [-0.1536601482836917, 0.3121446610755881], ""faster"": 18, ""slower"": 5, ""gate_passed"": false}",未晋级：30开发小幅收益，保留独立候选
